
Label=ph(V(V_filt)) vs 2*PI*F
LabelX=2*PI*F
LabelY=ph(V(V_filt))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(V(V_filt)),ph(V(V_filt))
 1.7820144013473609E+001, 1.1196726703728164E+002, 0.0000000000000000E+000,-5.7745827227810400E+000, 0.0000000000000000E+000
 1.7950944356875024E+001, 1.1278910983311546E+002, 0.0000000000000000E+000,-5.8169567211008912E+000, 0.0000000000000000E+000
 1.8082704778366772E+001, 1.1361698497750019E+002, 0.0000000000000000E+000,-5.8596414885766084E+000, 0.0000000000000000E+000
 1.8215432324948239E+001, 1.1445093674803887E+002, 0.0000000000000000E+000,-5.9026393005613880E+000, 0.0000000000000000E+000
 1.8349134095343977E+001, 1.1529100974733326E+002, 0.0000000000000000E+000,-5.9459524489832196E+000, 0.0000000000000000E+000
 1.8483817240383374E+001, 1.1613724890536955E+002, 0.0000000000000000E+000,-5.9895832424637927E+000, 0.0000000000000000E+000
 1.8619488963383095E+001, 1.1698969948192112E+002, 0.0000000000000000E+000,-6.0335340064381269E+000, 0.0000000000000000E+000
 1.8756156520532350E+001, 1.1784840706896945E+002, 0.0000000000000000E+000,-6.0778070832750970E+000, 0.0000000000000000E+000
 1.8893827221280972E+001, 1.1871341759314231E+002, 0.0000000000000000E+000,-6.1224048323987050E+000, 0.0000000000000000E+000
 1.9032508428730363E+001, 1.1958477731817025E+002, 0.0000000000000000E+000,-6.1673296304102276E+000, 0.0000000000000000E+000
 1.9172207560027282E+001, 1.2046253284736081E+002, 0.0000000000000000E+000,-6.2125838712112014E+000, 0.0000000000000000E+000
 1.9312932086760551E+001, 1.2134673112609107E+002, 0.0000000000000000E+000,-6.2581699661271433E+000, 0.0000000000000000E+000
 1.9454689535360657E+001, 1.2223741944431853E+002, 0.0000000000000000E+000,-6.3040903440322751E+000, 0.0000000000000000E+000
 1.9597487487502292E+001, 1.2313464543911019E+002, 0.0000000000000000E+000,-6.3503474514749323E+000, 0.0000000000000000E+000
 1.9741333580509849E+001, 1.2403845709719046E+002, 0.0000000000000000E+000,-6.3969437528039128E+000, 0.0000000000000000E+000
 1.9886235507765893E+001, 1.2494890275750764E+002, 0.0000000000000000E+000,-6.4438817302956393E+000, 0.0000000000000000E+000
 2.0032201019122617E+001, 1.2586603111381916E+002, 0.0000000000000000E+000,-6.4911638842821855E+000, 0.0000000000000000E+000
 2.0179237921316354E+001, 1.2678989121729605E+002, 0.0000000000000000E+000,-6.5387927332801956E+000, 0.0000000000000000E+000
 2.0327354078385081E+001, 1.2772053247914619E+002, 0.0000000000000000E+000,-6.5867708141206105E+000, 0.0000000000000000E+000
 2.0476557412089040E+001, 1.2865800467325710E+002, 0.0000000000000000E+000,-6.6351006820792948E+000, 0.0000000000000000E+000
 2.0626855902334402E+001, 1.2960235793885803E+002, 0.0000000000000000E+000,-6.6837849110085701E+000, 0.0000000000000000E+000
 2.0778257587600070E+001, 1.3055364278320152E+002, 0.0000000000000000E+000,-6.7328260934695567E+000, 0.0000000000000000E+000
 2.0930770565367602E+001, 1.3151191008426468E+002, 0.0000000000000000E+000,-6.7822268408654560E+000, 0.0000000000000000E+000
 2.1084402992554292E+001, 1.3247721109347043E+002, 0.0000000000000000E+000,-6.8319897835757137E+000, 0.0000000000000000E+000
 2.1239163085949425E+001, 1.3344959743842847E+002, 0.0000000000000000E+000,-6.8821175710910509E+000, 0.0000000000000000E+000
 2.1395059122653748E+001, 1.3442912112569661E+002, 0.0000000000000000E+000,-6.9326128721494156E+000, 0.0000000000000000E+000
 2.1552099440522152E+001, 1.3541583454356217E+002, 0.0000000000000000E+000,-6.9834783748728126E+000, 0.0000000000000000E+000
 2.1710292438609613E+001, 1.3640979046484398E+002, 0.0000000000000000E+000,-7.0347167869050873E+000, 0.0000000000000000E+000
 2.1869646577620397E+001, 1.3741104204971481E+002, 0.0000000000000000E+000,-7.0863308355505596E+000, 0.0000000000000000E+000
 2.2030170380360570E+001, 1.3841964284854444E+002, 0.0000000000000000E+000,-7.1383232679136261E+000, 0.0000000000000000E+000
 2.2191872432193826E+001, 1.3943564680476396E+002, 0.0000000000000000E+000,-7.1906968510392302E+000, 0.0000000000000000E+000
 2.2354761381500666E+001, 1.4045910825775061E+002, 0.0000000000000000E+000,-7.2434543720543081E+000, 0.0000000000000000E+000
 2.2518845940140942E+001, 1.4149008194573423E+002, 0.0000000000000000E+000,-7.2965986383101420E+000, 0.0000000000000000E+000
 2.2684134883919786E+001, 1.4252862300872471E+002, 0.0000000000000000E+000,-7.3501324775256363E+000, 0.0000000000000000E+000
 2.2850637053056989E+001, 1.4357478699146111E+002, 0.0000000000000000E+000,-7.4040587379315381E+000, 0.0000000000000000E+000
 2.3018361352659792E+001, 1.4462862984638244E+002, 0.0000000000000000E+000,-7.4583802884156158E+000, 0.0000000000000000E+000
 2.3187316753199163E+001, 1.4569020793662006E+002, 0.0000000000000000E+000,-7.5131000186687569E+000, 0.0000000000000000E+000
 2.3357512290989579E+001, 1.4675957803901233E+002, 0.0000000000000000E+000,-7.5682208393320387E+000, 0.0000000000000000E+000
