
Label=phase_vs_2_pi_freq
LabelX=2*PI*F
LabelY=ph(v(V_out))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(v(V_out)),ph(v(V_out))
 1.1537927611462888E+002, 7.2494937243645279E+002, 0.0000000000000000E+000,-2.3866693336746721E+001, 0.0000000000000000E+000
 1.1599221447410910E+002, 7.2880057773094563E+002, 0.0000000000000000E+000,-2.3993422658712070E+001, 0.0000000000000000E+000
 1.1660840899401235E+002, 7.3267224208476637E+002, 0.0000000000000000E+000,-2.4120824285683309E+001, 0.0000000000000000E+000
 1.1722787697229451E+002, 7.3656447418417702E+002, 0.0000000000000000E+000,-2.4248901774993584E+001, 0.0000000000000000E+000
 1.1785063579880475E+002, 7.4047738329282254E+002, 0.0000000000000000E+000,-2.4377658702665105E+001, 0.0000000000000000E+000
 1.1847670295577369E+002, 7.4441107925479753E+002, 0.0000000000000000E+000,-2.4507098663503758E+001, 0.0000000000000000E+000
 1.1910609601830419E+002, 7.4836567249772986E+002, 0.0000000000000000E+000,-2.4637225271198815E+001, 0.0000000000000000E+000
 1.1973883265486467E+002, 7.5234127403588093E+002, 0.0000000000000000E+000,-2.4768042158417103E+001, 0.0000000000000000E+000
 1.2037493062778516E+002, 7.5633799547326169E+002, 0.0000000000000000E+000,-2.4899552976903834E+001, 0.0000000000000000E+000
 1.2101440779375592E+002, 7.6035594900676597E+002, 0.0000000000000000E+000,-2.5031761397578240E+001, 0.0000000000000000E+000
 1.2165728210432867E+002, 7.6439524742931997E+002, 0.0000000000000000E+000,-2.5164671110634309E+001, 0.0000000000000000E+000
 1.2230357160642059E+002, 7.6845600413304828E+002, 0.0000000000000000E+000,-2.5298285825639070E+001, 0.0000000000000000E+000
 1.2295329444282090E+002, 7.7253833311245774E+002, 0.0000000000000000E+000,-2.5432609271632689E+001, 0.0000000000000000E+000
 1.2360646885270019E+002, 7.7664234896763696E+002, 0.0000000000000000E+000,-2.5567645197229577E+001, 0.0000000000000000E+000
 1.2426311317212239E+002, 7.8076816690747353E+002, 0.0000000000000000E+000,-2.5703397370717340E+001, 0.0000000000000000E+000
 1.2492324583455958E+002, 7.8491590275288820E+002, 0.0000000000000000E+000,-2.5839869580160357E+001, 0.0000000000000000E+000
 1.2558688537140939E+002, 7.8908567294008640E+002, 0.0000000000000000E+000,-2.5977065633499379E+001, 0.0000000000000000E+000
 1.2625405041251527E+002, 7.9327759452382668E+002, 0.0000000000000000E+000,-2.6114989358655784E+001, 0.0000000000000000E+000
 1.2692475968668941E+002, 7.9749178518070676E+002, 0.0000000000000000E+000,-2.6253644603632651E+001, 0.0000000000000000E+000
 1.2759903202223856E+002, 8.0172836321246689E+002, 0.0000000000000000E+000,-2.6393035236619173E+001, 0.0000000000000000E+000
 1.2827688634749254E+002, 8.0598744754931079E+002, 0.0000000000000000E+000,-2.6533165146094543E+001, 0.0000000000000000E+000
 1.2895834169133565E+002, 8.1026915775324483E+002, 0.0000000000000000E+000,-2.6674038240931807E+001, 0.0000000000000000E+000
 1.2964341718374078E+002, 8.1457361402143351E+002, 0.0000000000000000E+000,-2.6815658450502884E+001, 0.0000000000000000E+000
 1.3033213205630651E+002, 8.1890093718957462E+002, 0.0000000000000000E+000,-2.6958029724783547E+001, 0.0000000000000000E+000
 1.3102450564279690E+002, 8.2325124873529023E+002, 0.0000000000000000E+000,-2.7101156034461340E+001, 0.0000000000000000E+000
 1.3172055737968432E+002, 8.2762467078153816E+002, 0.0000000000000000E+000,-2.7245041371038852E+001, 0.0000000000000000E+000
